fold,fold_seed,best_epoch,best_auc,n_params,ROC_AUC,PR_AUC,F1,MCC,Accuracy,Precision,Recall,Specificity,Kappa,Balanced_Accuracy
0,42,78,0.9803479412204678,4705756,0.9803479412204678,0.9346254481561473,0.8524590163934426,0.8209622274842635,0.946980854197349,0.8838526912181303,0.8232189973614775,0.9752714113389626,0.8201927242114899,0.89924520435022
1,43,135,0.9854212883246177,4705756,0.9854212883246177,0.9500334290992006,0.8843537414965985,0.859553902357425,0.958271968581247,0.9129213483146067,0.8575197889182058,0.9813027744270205,0.8589274263920472,0.9194112816726132
2,44,81,0.9823881015051353,4705756,0.9823881015051353,0.9311359290043719,0.8661417322834645,0.8353630893972451,0.9499263622974963,0.8616187989556136,0.8707124010554089,0.9680337756332931,0.8353456747075791,0.9193730883443509
3,45,96,0.9812772448478118,4705756,0.9812772448478118,0.9410754446533272,0.8839050131926122,0.8573557327690654,0.9567779960707269,0.881578947368421,0.8862433862433863,0.9728588661037394,0.857351227062248,0.9295511261735628
4,46,126,0.9758857168386721,4705756,0.9758857168386721,0.9305181413852008,0.8610354223433241,0.8310671732753793,0.949901768172888,0.8876404494382022,0.8359788359788359,0.9758745476477684,0.8305116837837309,0.9059266918133022
